sentence_id,chunk_id,subchunk_id,order_idx,char_start,char_end_incl,pali_text
s_000001_005_077,chunk_000001,sc_000001_005,77,8295,8368,"Kiñhettha taṃ paramatthato atthi, yaṃ evanti vā meti vā niddesaṃ labhetha?"
s_000001_005_078,chunk_000001,sc_000001_005,78,8370,8395,Sutanti vijjamānapaññatti.
s_000001_005_079,chunk_000001,sc_000001_005,79,8397,8460,"Yañhi tamettha sotena upaladdhaṃ, taṃ paramatthato vijjamānanti."
s_000001_005_080,chunk_000001,sc_000001_005,80,8462,8526,Tathā evanti ca meti ca taṃ taṃ upādāya vattabbato upādāpaññatti.
s_000001_005_081,chunk_000001,sc_000001_005,81,8528,8585,Sutanti diṭṭhādīni upanidhāya vattabbato upanidhāpaññatti.
s_000001_005_082,chunk_000001,sc_000001_005,82,8587,8628,Ettha ca evanti vacanena asammohaṃ dīpeti.
s_000001_005_083,chunk_000001,sc_000001_005,83,8630,8678,Na hi sammūḷho nānappakārapaṭivedhasamattho hoti.
s_000001_005_084,chunk_000001,sc_000001_005,84,8680,8721,Sutanti vacanena sutassa asammosaṃ dīpeti.
s_000001_005_085,chunk_000001,sc_000001_005,85,8723,8796,"Yassa hi sutaṃ sammuṭṭhaṃ hoti, na so kālantarena mayā sutanti paṭijānāti."
s_000001_005_086,chunk_000001,sc_000001_005,86,8798,8856,"Iccassa asammohena paññāsiddhi, asammosena pana satisiddhi."
s_000001_005_087,chunk_000001,sc_000001_005,87,8858,9083,"Tattha paññā pubbaṅgamāya satiyā byañjanāvadhāraṇasamatthatā, satipubbaṅgamāya paññāya atthapaṭivedhasamatthatā, tadubhayasamatthatāyogena atthabyañjanasampannassa dhammakosassa anupālanasamatthato dhammabhaṇḍāgārikattasiddhi."
s_000001_005_088,chunk_000001,sc_000001_005,88,9085,9192,"Aparo nayo – evanti vacanena yoniso manasikāraṃ dīpeti, ayoniso manasikaroto hi nānappakārapaṭivedhābhāvato."
s_000001_005_089,chunk_000001,sc_000001_005,89,9194,9261,"Sutanti vacanena avikkhepaṃ dīpeti, vikkhittacittassa savanābhāvato."
s_000001_005_090,chunk_000001,sc_000001_005,90,9263,9365,"Tathā hi vikkhittacitto puggalo sabbasampattiyā vuccamānopi ‘‘na mayā sutaṃ, puna bhaṇathā’’ti bhaṇati."
s_000001_005_091,chunk_000001,sc_000001_005,91,9367,9499,"Yoniso manasikārena cettha attasammāpaṇidhiṃ pubbe ca katapuññataṃ sādheti, sammā apaṇihitattassa pubbe akatapuññassa vā tadabhāvato."
s_000001_005_092,chunk_000001,sc_000001_005,92,9501,9565,Avikkhepena pana saddhammassavanaṃ sappurisūpanissayañca sādheti.
s_000001_005_093,chunk_000001,sc_000001_005,93,9567,9652,"Na hi vikkhittacitto sotuṃ sakkoti, na ca sappurise anupassayamānassa savanaṃ atthīti."
s_000001_005_094,chunk_000001,sc_000001_005,94,9654,9782,"Aparo nayo – yasmā evanti yassa cittasantānassa nānākārappavattiyā nānatthabyañjanaggahaṇaṃ hoti, tassa nānākāraniddesoti vuttaṃ."
s_000001_005_095,chunk_000001,sc_000001_005,95,9784,9991,"So ca evaṃ bhaddako ākāro na sammā appaṇihitattano pubbe akatapuññassa vā hoti, tasmā evanti iminā bhaddakena ākārena pacchimacakkadvayasampattiṃ attano dīpeti, sutanti savanayogena purimacakkadvayasampattiṃ."
s_000001_005_096,chunk_000001,sc_000001_005,96,9993,10067,Na hi appatirūpadese vasato sappurisūpanissayavirahitassa vā savanaṃ atthi.
s_000001_005_097,chunk_000001,sc_000001_005,97,10069,10127,Iccassa pacchimacakkadvayasiddhiyā āsayasuddhi siddhā hoti.
s_000001_005_098,chunk_000001,sc_000001_005,98,10129,10166,Purimacakkadvayasiddhiyā payogasuddhi.
s_000001_005_099,chunk_000001,sc_000001_005,99,10168,10244,"Tāya ca āsayasuddhiyā adhigamabyattisiddhi, payogasuddhiyā āgamabyattisiddhi."
s_000001_006_100,chunk_000001,sc_000001_006,100,10246,10471,Iti payogāsayasuddhassa āgamādhigamasampannassa vacanaṃ aruṇuggaṃ viya sūriyassa udayato yonisomanasikāro viya ca kusalakammassa arahati bhagavato vacanassa pubbaṅgamaṃ bhavitunti ṭhāne nidānaṃ ṭhapento evaṃ me sutantiādimāha.
s_000001_006_101,chunk_000001,sc_000001_006,101,10473,10594,Aparo nayo – evanti iminā nānappakārapaṭivedhadīpakena vacanena attano atthapaṭibhānapaṭisambhidāsampattisabbhāvaṃ dīpeti.
s_000001_006_102,chunk_000001,sc_000001_006,102,10596,10682,Sutanti iminā sotabbabhedapaṭivedhadīpakena dhammaniruttipaṭisambhidāsampattisabbhāvaṃ.
s_000001_006_103,chunk_000001,sc_000001_006,103,10684,10811,Evanti ca idaṃ yonisomanasikāradīpakaṃ vacanaṃ bhāsamāno – ‘‘ete mayā dhammā manasānupekkhitā diṭṭhiyā suppaṭividdhā’’ti dīpeti.
s_000001_006_104,chunk_000001,sc_000001_006,104,10813,10920,Sutanti idaṃ savanayogadīpakaṃ vacanaṃ bhāsamāno – ‘‘bahū mayā dhammā sutā dhātā vacasā paricitā’’ti dīpeti.
s_000001_006_105,chunk_000001,sc_000001_006,105,10922,10987,Tadubhayenapi atthabyañjanapāripūriṃ dīpento savane ādaraṃ janeti.
s_000001_006_106,chunk_000001,sc_000001_006,106,10989,11297,"Atthabyañjanaparipuṇṇañhi dhammaṃ ādarena assuṇanto mahatā hitā paribāhiro hotīti ādaraṃ janetvā sakkaccaṃ dhammo sotabboti. ‘‘Evaṃ me suta’’nti iminā pana sakalena vacanena āyasmā ānando tathāgatappaveditaṃ dhammaṃ attano adahanto asappurisabhūmiṃ atikkamati, sāvakattaṃ paṭijānanto sappurisabhūmiṃ okkamati."
s_000001_006_107,chunk_000001,sc_000001_006,107,11299,11522,"Tathā asaddhammā cittaṃ vuṭṭhāpeti, saddhamme cittaṃ patiṭṭhāpeti. ‘‘Kevalaṃ sutamevetaṃ mayā tasseva pana bhagavato vacana’’nti dīpento attānaṃ parimoceti, satthāraṃ apadisati, jinavacanaṃ appeti, dhammanettiṃ patiṭṭhāpeti."
s_000001_006_108,chunk_000001,sc_000001_006,108,11524,12047,"Apica ‘‘evaṃ me suta’’nti attanā uppāditabhāvaṃ appaṭijānanto purimavacanaṃ vivaranto ‘‘sammukhā paṭiggahitamidaṃ mayā tassa bhagavato catuvesārajjavisāradassa dasabaladharassa āsabhaṭṭhānaṭṭhāyino sīhanādanādino sabbasattuttamassa dhammissarassa dhammarājassa dhammādhipatino dhammadīpassa dhammasaraṇassa saddhammavaracakkavattino sammāsambuddhassa vacanaṃ, na ettha atthe vā dhamme vā pade vā byañjane vā kaṅkhā vā vimati vā kattabbā’’ti sabbadevamanussānaṃ imasmiṃ dhamme assaddhiyaṃ vināseti, saddhāsampadaṃ uppādetīti."
s_000001_006_109,chunk_000001,sc_000001_006,109,12049,12160,"Tenetaṃ vuccati – ‘‘Vināsayati assaddhaṃ, saddhaṃ vaḍḍheti sāsane; Evaṃ me sutamiccevaṃ, vadaṃ gotamasāvako’’ti."
s_000001_006_110,chunk_000001,sc_000001_006,110,12162,12192,Ekanti gaṇanaparicchedaniddeso.
s_000001_006_111,chunk_000001,sc_000001_006,111,12194,12222,Samayanti paricchinnaniddeso.
s_000001_006_112,chunk_000001,sc_000001_006,112,12224,12259,Ekaṃ samayanti aniyamitaparidīpanaṃ.
s_000001_006_113,chunk_000001,sc_000001_006,113,12261,12365,"Tattha samayasaddo – Samavāye khaṇe kāle, samūhe hetudiṭṭhisu; Paṭilābhe pahāne ca, paṭivedhe ca dissati."
s_000001_007_114,chunk_000001,sc_000001_007,114,12367,13419,"Tathā hissa ‘‘appeva nāma svepi upasaṅkameyyāma kālañca samayañca upādāyā’’ti evamādīsu (dī. ni. 1.447) samavāyo attho. ‘‘Ekova kho, bhikkhave, khaṇo ca samayo ca brahmacariyavāsāyā’’tiādīsu (a. ni. 8.29) khaṇo. ‘‘Uṇhasamayo pariḷāhasamayo’’tiādīsu (pāci. 358) kālo. ‘‘Mahāsamayo pavanasmi’’ntiādīsu samūho. ‘‘Samayopi kho te, bhaddāli, appaṭividdho ahosi, bhagavā kho sāvatthiyaṃ viharati, bhagavāpi maṃ jānissati, ‘bhaddāli, nāma bhikkhu satthusāsane sikkhāya na paripūrakārī’ti, ayampi kho te, bhaddāli, samayo appaṭividdho ahosī’’tiādīsu (ma. ni. 2.135) hetu. ‘‘Tena kho pana samayena uggāhamāno paribbājako samaṇamuṇḍikāputto samayappavādake tindukācīre ekasālake mallikāya ārāme paṭivasatī’’tiādīsu (ma. ni. 2.260) diṭṭhi. ‘‘Diṭṭhe dhamme ca yo attho, yo cattho samparāyiko; Atthābhisamayā dhīro, paṇḍitoti pavuccatī’’ti. – Ādīsu (saṃ. ni. 1.129) paṭilābho. ‘‘Sammā mānābhisamayā antamakāsi dukkhassā’’tiādīsu (ma. ni. 1.24) pahānaṃ. ‘‘Dukkhassa pīḷanaṭṭho saṅkhataṭṭho santāpaṭṭho vipariṇāmaṭṭho abhisamayaṭṭho’’tiādīsu (paṭi. ma. 3.1) paṭivedho."
s_000001_007_115,chunk_000001,sc_000001_007,115,13421,13444,Idha panassa kālo attho.
s_000001_007_116,chunk_000001,sc_000001_007,116,13446,13611,Tena saṃvacchara-utu-māsaḍḍhamāsa-ratti-diva-pubbaṇha-majjhanhika-sāyanha- paṭhamamajjhimapacchimayāma-muhuttādīsu kālappabhedabhūtesu samayesu ekaṃ samayanti dīpeti.
s_000001_007_117,chunk_000001,sc_000001_007,117,13613,13804,"Tattha kiñcāpi etesu saṃvaccharādīsu samayesu yaṃ yaṃ suttaṃ yamhi yamhi saṃvacchare utumhi māse pakkhe rattibhāge divasabhāge vā vuttaṃ, sabbaṃ taṃ therassa suviditaṃ suvavatthāpitaṃ paññāya."
s_000001_007_118,chunk_000001,sc_000001_007,118,13806,14083,"Yasmā pana ‘‘evaṃ me sutaṃ asukasaṃvacchare asukautumhi asukamāse asukapakkhe asukarattibhāge asukadivasabhāge vā’’ti evaṃ vutte na sakkā sukhena dhāretuṃ vā uddisituṃ vā uddisāpetuṃ vā, bahu ca vattabbaṃ hoti, tasmā ekeneva padena tamatthaṃ samodhānetvā ‘‘ekaṃ samaya’’nti āha."
s_000002_001_001,chunk_000002,sc_000002_001,1,1,334,"Ye vā ime gabbhokkantisamayo jātisamayo saṃvegasamayo abhinikkhamanasamayo dukkarakārikasamayo māravijayasamayo abhisambodhisamayo diṭṭhadhammasukhavihārasamayo desanāsamayo parinibbānasamayoti evamādayo bhagavato devamanussesu ativiya suppakāsā anekakālappabhedā eva samayā, tesu samayesu desanāsamayasaṅkhātaṃ ekaṃ samayanti dīpeti."
s_000002_001_002,chunk_000002,sc_000002_001,2,336,597,"Yo cāyaṃ ñāṇakaruṇākiccasamayesu aruṇākiccasamayo, attahitaparahitapaṭipattisamayesu parahitapaṭipattisamayo, sannipatitānaṃ karaṇīyadvayasamayesu dhammikathāsamayo, desanāpaṭipattisamayesu desanāsamayo, tesupi samayesu aññataraṃ sandhāya ‘‘ekaṃ samaya’’nti āha."
