subchunk_id,chunk_id,order_idx,token_start,token_end_excl,token_count,pali_text
sc_000001_011,chunk_000001,11,2000,2200,200,
sc_000001_012,chunk_000001,12,2200,2400,200,
sc_000001_013,chunk_000001,13,2400,2600,200,
sc_000001_014,chunk_000001,14,2600,2800,200,
sc_000001_015,chunk_000001,15,2800,3000,200,
sc_000001_016,chunk_000001,16,3000,3200,200,
sc_000001_017,chunk_000001,17,3200,3400,200,
sc_000001_018,chunk_000001,18,3400,3600,200,
sc_000001_019,chunk_000001,19,3600,3800,200,
sc_000001_020,chunk_000001,20,3800,4000,200,
sc_000001_021,chunk_000001,21,4000,4200,200,
sc_000001_022,chunk_000001,22,4200,4400,200,
sc_000001_023,chunk_000001,23,4400,4600,200,
sc_000001_024,chunk_000001,24,4600,4800,200,
sc_000001_025,chunk_000001,25,4800,5000,200,
sc_000001_026,chunk_000001,26,5000,5200,200,
sc_000001_027,chunk_000001,27,5200,5400,200,
sc_000001_028,chunk_000001,28,5400,5600,200,
sc_000001_029,chunk_000001,29,5600,5800,200,
sc_000001_030,chunk_000001,30,5800,6000,200,
sc_000001_031,chunk_000001,31,6000,6200,200,
sc_000001_032,chunk_000001,32,6200,6400,200,
sc_000001_033,chunk_000001,33,6400,6600,200,
sc_000001_034,chunk_000001,34,6600,6800,200,
sc_000001_035,chunk_000001,35,6800,7000,200,
sc_000001_036,chunk_000001,36,7000,7200,200,
sc_000001_037,chunk_000001,37,7200,7400,200,
sc_000001_038,chunk_000001,38,7400,7600,200,
sc_000001_039,chunk_000001,39,7600,7800,200,
sc_000001_040,chunk_000001,40,7800,8000,200,
sc_000002_001,chunk_000002,1,8000,8200,200,"Ye vā ime gabbhokkantisamayo jātisamayo saṃvegasamayo abhinikkhamanasamayo dukkarakārikasamayo māravijayasamayo abhisambodhisamayo diṭṭhadhammasukhavihārasamayo desanāsamayo parinibbānasamayoti evamādayo bhagavato devamanussesu ativiya suppakāsā anekakālappabhedā eva samayā, tesu samayesu desanāsamayasaṅkhātaṃ ekaṃ samayanti dīpeti. Yo cāyaṃ ñāṇakaruṇākiccasamayesu aruṇākiccasamayo, attahitaparahitapaṭipattisamayesu parahitapaṭipattisamayo, sannipatitānaṃ karaṇīyadvayasamayesu dhammikathāsamayo, desanāpaṭipattisamayesu desanāsamayo, tesupi samayesu aññataraṃ sandhāya ‘‘ekaṃ samaya’’nti āha. Kasmā panettha yathā abhidhamme ‘‘yasmiṃ samaye kāmāvacara’’nti ca ito aññesu suttapadesu ‘‘yasmiṃ samaye, bhikkhave, bhikkhu vivicceva kāmehī’’ti ca bhummavacanena niddeso kato, vinaye ca ‘‘tena samayena buddho bhagavā’’ti karaṇavacanena, tathā akatvā ‘‘ekaṃ samaya’’nti upayogavacananiddeso katoti. Tattha tathā idha ca aññathā atthasambhavato. Tattha hi abhidhamme ito aññesu suttapadesu ca adhikaraṇattho bhāvenabhāvalakkhaṇattho ca sambhavati. Adhikaraṇañhi kālattho ca samūhattho ca samayo, tattha vuttānaṃ phassādidhammānaṃ khaṇasamavāyahetusaṅkhātassa ca samayassa bhāvena tesaṃ bhāvo lakkhīyati, tasmā tadatthajotanatthaṃ tattha bhummavacananiddeso kato. Vinaye ca hetuattho karaṇattho ca sambhavati. Yo hi so sikkhāpadapaññattisamayo sāriputtādīhipi dubbiññeyyo, tena samayena hetubhūtena karaṇabhūtena ca sikkhāpadāni paññāpayanto sikkhāpadapaññattihetuñca apekkhamāno bhagavā tattha tattha vihāsi, tasmā tadatthajotanatthaṃ tattha karaṇavacanena niddeso kato. Idha pana aññasmiñca evaṃjātike accantasaṃyogattho sambhavati. Yañhi samayaṃ bhagavā imaṃ aññaṃ vā suttantaṃ desesi, accantameva taṃ samayaṃ karuṇāvihārena vihāsi, tasmā tadatthajotanatthaṃ idha upayogavacananiddeso katoti. Tenetaṃ vuccati – ‘‘Taṃ taṃ atthamapekkhitvā, bhummena karaṇena ca; Aññatra samayo vutto, upayogena so idhā’’ti. Porāṇā pana vaṇṇayanti – ‘‘tasmiṃ samaye’’ti vā – ‘‘tena samayenā’’ti vā – ‘‘ekaṃ"
sc_000002_002,chunk_000002,2,8200,8400,200,"samaya’’nti vā abhilāpamattabhedo esa, sabbattha bhummameva atthoti. Tasmā ‘‘ekaṃ samaya’’nti vuttepi ‘‘ekasmiṃ samaye’’ti attho veditabbo. Bhagavāti garu. Garuñhi loke ‘‘bhagavā’’ti vadanti. Ayañca sabbaguṇavisiṭṭhatāya sabbasattānaṃ garu, tasmā ‘‘bhagavā’’ti veditabbo. Porāṇehipi vuttaṃ – ‘‘Bhagavāti vacanaṃ seṭṭhaṃ, bhagavāti vacanamuttamaṃ; Garugāravayutto so, bhagavā tena vuccatī’’ti. Apica – ‘‘Bhāgyavā bhaggavā yutto, bhagehi ca vibhattavā; Bhattavā vantagamano, bhavesu bhagavā tato’’ti. – Imissā gāthāya vasenassa padassa vitthārato attho veditabbo. So ca visuddhimagge buddhānussatiniddese vuttoyeva. Ettāvatā cettha evaṃ me sutanti vacanena yathāsutaṃ dhammaṃ dassento bhagavato dhammasarīraṃ paccakkhaṃ karoti. Tena – ‘‘nayidaṃ atikkantasatthukaṃ pāvacanaṃ, ayaṃ vo satthā’’ti satthu adassanena ukkaṇṭhitaṃ janaṃ samassāseti. Ekaṃ samayaṃ bhagavāti vacanena tasmiṃ samaye bhagavato avijjamānabhāvaṃ dassento rūpakāyaparinibbānaṃ sādheti. Tena ‘‘evaṃvidhassa nāma ariyadhammassa desako dasabaladharo vajirasaṅghātasamānakāyo, sopi bhagavā parinibbuto, kena aññena jīvite āsā janetabbā’’ti jīvitamadamattaṃ janaṃ saṃvejeti, saddhamme cassa ussāhaṃ janeti. Evanti ca bhaṇanto desanāsampattiṃ niddisati. Me sutanti sāvakasampattiṃ. Ekaṃ samayanti kālasampattiṃ. Bhagavāti desakasampattiṃ. Ukkaṭṭhāyaṃ viharatīti ettha ukkāti dīpikā, tañca nagaraṃ ‘‘maṅgaladivaso sukhaṇo sunakkhattaṃ mā atikkamī’’ti rattimpi ukkāsu ṭhitāsu māpitattā ukkaṭṭhāti vuccati. Daṇḍadīpikāsu jāletvā dhārīyamānāsu māpitattāti vuttaṃ hoti, tassaṃ ukkaṭṭhāyaṃ. Samīpatthe cetaṃ bhummavacanaṃ. Viharatīti avisesena iriyāpathadibbabrahmaariyavihāresu aññataravihārasamaṅgiparidīpanametaṃ. Idha pana ṭhānagamananisinnasayanappabhedesu riyāpathesu aññatarairiyāpathasamāyogaparidīpanaṃ. Tena ṭhitopi gacchantopi nisinnopi sayānopi bhagavā viharaticceva veditabbo. So hi bhagavā ekaṃ iriyāpathabādhanaṃ aññena iriyāpathena vicchinditvā aparipatantaṃ attabhāvaṃ harati pavatteti, tasmā viharatīti vuccati."
